studytime,score
0.0,-71.67536051886215
1.0,-50.93833177216522
2.0,-91.301591162168
3.0,-114.07748724654536
4.0,-62.103175392275446
5.0,-78.82566217901655
6.0,-90.83512773462743
7.0,-66.72759200755114
8.0,-109.12062823506663
9.0,-133.1433807351875
10.0,-141.07302576389128
11.0,-108.94840836396534
12.0,-123.31289949835154
13.0,-129.77029687640655
14.0,-131.6600317854147
15.0,-141.94713216390193
16.0,-165.83723972943176
17.0,-135.985904362909
18.0,-155.98536801164167
19.0,-159.81623689554328
20.0,-207.49752814835742
21.0,-179.06049014162755
22.0,-193.65123190622717
23.0,-179.27283179629467
24.0,-183.10789422102377
25.0,-202.81168630929525
26.0,-191.03066644881412
27.0,-211.1509375270726
28.0,-223.308695170943
29.0,-259.0323112421547
30.0,-238.643149693841
31.0,-223.91879624016386
32.0,-241.70561826322418
33.0,-271.11505926927066
34.0,-241.42111946915568
35.0,-266.85525754133226
36.0,-241.5909322026699
37.0,-260.6724082376173
38.0,-299.50261410871406
39.0,-303.93108486018434
40.0,-297.9140530901975
41.0,-335.0754259446908
42.0,-301.116823380396
43.0,-310.81761851869646
44.0,-289.48648502154265
45.0,-341.32864774151153
46.0,-309.68499064596267
47.0,-343.36110628161657
48.0,-307.01389483147386
49.0,-322.0361873710456
50.0,-344.7069316733793
51.0,-338.0629850880633
52.0,-341.1125796781997
53.0,-353.5352300515887
54.0,-379.4865065715711
55.0,-355.9612373530667
56.0,-393.8644477195549
57.0,-389.45858574946885
58.0,-369.25190038955066
59.0,-414.3933488656129
60.0,-394.54333717852364
61.0,-420.3929556736821
62.0,-430.2486245436503
63.0,-392.0282330478969
64.0,-404.41215005007484
65.0,-446.04289265366134
66.0,-417.9649172693506
67.0,-418.8275025711651
68.0,-449.17463207391097
69.0,-455.51174700898645
70.0,-461.8023931567121
71.0,-475.7055050070992
72.0,-461.9301596982841
73.0,-455.502128791008
74.0,-477.3992905611433
75.0,-465.69437168019476
76.0,-449.35592306814056
77.0,-488.33089763394923
78.0,-499.735869555918
79.0,-500.1499915045739
80.0,-512.8284911368911
81.0,-500.7767565707504
82.0,-522.664173358597
83.0,-542.5171488203681
84.0,-538.5554898692676
85.0,-546.6715200202419
86.0,-567.8462724293848
87.0,-534.7818190972497
88.0,-563.5761072289939
89.0,-564.0637434388151
90.0,-570.5326374645418
91.0,-549.8877532919688
92.0,-573.7001839891434
93.0,-583.6654128641235
94.0,-607.4869095504899
95.0,-609.0092334095825
96.0,-600.9389425632932
97.0,-629.6749823452583
98.0,-590.2320210968285
99.0,-611.696432766551
